pl_name,hostname,default_flag,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim
HD 77946 b,HD 77946,1,2024,Transiting Exoplanet Survey Satellite (TESS),6.52728200,0.00001500,-0.00002000,0,0.072000,0.001200,-0.001200,0,2.705,0.086,-0.081,0,8.38000,1.32000,-1.32000,0,0.233000,0.064000,-0.079000,0,,,,,,,,,F5,6046.00,50.00,-50.00,0,1.31,0.01,-0.01,0,1.17,0.06,-0.05,0,0.180,0.050,-0.050,0,[M/H],4.30,0.07,-0.07,0
HD 77946 b,HD 77946,0,2024,Transiting Exoplanet Survey Satellite (TESS),6.51595067,0.00155331,-0.00155331,0,,,,,2.830,2.894,-2.894,0,,,,,,,,,414.07,,,0,1151,,,0,,6023.00,126.76,-126.76,0,1.33,0.06,-0.06,0,,,,,,,,,,4.24,0.08,-0.08,0
LHS 1678 d,LHS 1678,0,2024,Transiting Exoplanet Survey Satellite (TESS),4.96520686,0.00001885,-0.00001885,0,,,,,0.857,2.663,-2.663,0,,,,,,,,,10.86,,,0,463,,,0,,3450.00,111.00,-111.00,0,0.34,0.01,-0.01,0,,,,,,,,,,4.89,0.49,-0.49,0
LHS 1678 d,LHS 1678,1,2024,Transiting Exoplanet Survey Satellite (TESS),4.96522290,0.00000960,-0.00000750,0,0.040000,0.001800,-0.001700,0,0.981,0.070,-0.072,0,,,,,0.036000,0.060000,-0.027000,0,9.10,0.90,-0.80,0,,,,,M2.0 V,3490.00,50.00,-50.00,0,0.33,0.01,-0.01,0,0.34,0.01,-0.01,0,,,,,,,,,
NGTS-30 b,NGTS-30,0,2024,Transiting Exoplanet Survey Satellite (TESS),,,,,,,,,9.930,0.654,-0.654,0,,,,,,,,,172.86,,,0,1010,,,0,,5427.90,123.30,-123.30,0,0.91,0.05,-0.05,0,,,,,,,,,,4.49,0.08,-0.08,0
NGTS-30 b,NGTS-30,1,2024,Transiting Exoplanet Survey Satellite (TESS),98.29838000,0.00010000,-0.00009000,0,0.408000,0.019000,-0.019000,0,10.402,0.359,-0.359,0,305.11527,17.79839,-17.79839,0,0.294000,0.014000,-0.010000,0,,,,,500,55,-84,0,,5455.00,80.00,-80.00,0,0.91,0.03,-0.03,0,0.94,0.06,-0.06,0,-0.030,0.080,-0.080,0,[Fe/H],4.30,0.50,-0.50,0
TOI-1135 b,TOI-1135,0,2024,Transiting Exoplanet Survey Satellite (TESS),8.02774310,0.00001180,-0.00001180,0,,,,,9.345,0.433,-0.433,0,,,,,,,,,901.30,,,0,1526,,,0,,5962.70,68.60,-68.60,0,1.15,0.05,-0.05,0,,,,,,,,,,4.38,0.08,-0.08,0
TOI-1135 b,TOI-1135,1,2024,Transiting Exoplanet Survey Satellite (TESS),8.02773000,0.00000300,-0.00000300,0,0.082000,0.003000,-0.003000,0,9.020,0.227,-0.227,0,51.42000,,,1,0.000000,,,0,,,,,1199,21,-21,0,G0,6122.00,15.00,-15.00,0,1.16,0.03,-0.03,0,1.12,0.03,-0.03,0,0.000,0.020,-0.020,0,[Fe/H],4.56,0.02,-0.02,0
TOI-1199 b,TOI-1199,1,2024,Transiting Exoplanet Survey Satellite (TESS),3.67146300,0.00000300,-0.00000300,0,0.049880,0.000910,-0.000910,0,10.514,0.280,-0.280,0,75.96099,6.35657,-6.35657,0,0.030000,0.029000,-0.029000,0,,,,,1486,20,-20,0,,5710.00,40.00,-40.00,0,1.45,0.03,-0.03,0,1.23,0.07,-0.07,0,0.440,0.040,-0.040,0,[Fe/H],4.19,0.03,-0.03,0
TOI-1199 b,TOI-1199,0,2024,Transiting Exoplanet Survey Satellite (TESS),3.67146340,0.00000410,-0.00000410,0,,,,,10.678,0.557,-0.557,0,,,,,,,,,324.11,,,0,1182,,,0,,5618.00,122.10,-122.10,0,1.54,0.08,-0.08,0,,,,,,,,,,4.06,0.08,-0.08,0
