planet_name,num_stars,controv_flag,orbital_period,planet_semi-major_axis,planet_radius,planet_mass,eccentricity,insolation_flux,equi_temp,spectral_type,stellar_temp,stellar_radius,stellar_mass,distance
11 Com b,2,0,,1.21,,5434.7,,,,,,,2.6,93.1846
11 Com b,2,0,326.03,1.29,,6165.6,0.231,,,G8 III,4742,19,2.7,93.1846
11 Com b,2,0,323.21,1.178,,4914.89849,0.238,,,G8 III,4874,13.76,2.09,93.1846
11 UMi b,1,0,516.21997,1.53,,4684.8142,0.08,,,,4213,29.79,2.78,125.321
11 UMi b,1,0,,1.51,,3432.4,,,,,,,1.7,125.321
11 UMi b,1,0,516.22,1.54,,3337.07,0.08,,,K4 III,4340,24.08,1.8,125.321
14 And b,1,0,186.76,0.775,,1131.1513,0,,,K0 III,4888,11.55,1.78,75.4392
14 And b,1,0,,0.68,,1017,,,,,,,1.2,75.4392
14 And b,1,0,185.84,0.83,,1525.5,0,,,K0 III,4813,11,2.2,75.4392
14 Her b,1,0,1773.4,2.77,,1474.67,0.369,,,K0 V,,,,17.9323
14 Her b,1,0,1766,2.864,,1581.138,0.359,,,,5280,1,0.91,17.9323
14 Her b,1,0,1765.0389,2.774,,2559.47216,0.373,,,,,,0.91,17.9323
14 Her b,1,0,1773.40002,2.93,,1481.0878,0.37,,,,5338,0.93,0.9,17.9323
14 Her b,1,0,1796.4,2.8,,1506.45,0.338,,,,5255,,0.9,17.9323
14 Her b,1,0,1766.41,2.83,,1541.46777,0.3674,,,,5314.94,1,0.97,17.9323
14 Her b,1,0,1724,2.82,,1554.12,0.37,,,K0 V,,,1,17.9323
14 Her b,1,0,,2.73,,1440.663,0.357,,,,,,0.9,17.9323
16 Cyg B b,3,0,799.45,1.676,,556.83537,0.6832,,,,5711.97,1.16,0.98,21.1397
16 Cyg B b,3,0,798.5,1.681,,533.9544,0.681,,,,5674,,0.99,21.1397
16 Cyg B b,3,0,800.8,1.6,,476.7,0.634,,,G2.5 V,5760,,1,21.1397
16 Cyg B b,3,0,799.5,1.68,,533.93,0.689,,,,5747,1.13,1.03,21.1397
16 Cyg B b,3,0,799.5,1.68,,533.93,0.689,,,G3 V,,,,21.1397
16 Cyg B b,3,0,798.5,1.66,,565.7374,0.68,,,,5750,1.13,1.08,21.1397
17 Sco b,1,0,578.38,1.45,,1373.01872,0.06,,,K3 III,4157,25.92,1.22,124.953
18 Del b,2,0,993.3,2.6,,3273.5,0.08,,,G6 III,4979,8.5,2.3,76.222
18 Del b,2,0,982.85,2.476,,2926.24614,0.024,,,G6 III,4980,8.8,2.1,76.222
18 Del b,2,0,,2.54,,3127.3,,,,,,,2.1,76.222
1RXS J160929.1-210524 b,1,0,,330,,4000,,,1700,,4060,,0.85,139.135
1RXS J160929.1-210524 b,1,0,,330,,3000,,,1700,K7 V,4060,,0.85,139.135
1RXS J160929.1-210524 b,1,0,,330,,3000,,,1800,,3993,1.31,0.62,139.135
1RXS J160929.1-210524 b,1,0,,330,18.647,2543,,,1800,K7 V,4060,1.35,0.85,139.135
24 Boo b,1,0,30.33,0.194,,280.64248,0.032,,,G3 IV,4816,12.19,1.05,95.9863
24 Boo b,1,0,30.3506,0.19,,289.2253,0.042,,,G3 IV,4893,10.64,0.99,95.9863
24 Sex b,1,0,452.8,1.333,,632.46,0.09,,,,5098,4.9,1.54,72.0691
24 Sex c,1,0,883,2.08,,273.32,0.29,,,,5098,4.9,1.54,72.0691
